AMDPROFILER POWER PROFILE REPORT,,,,,,,,,,
,,,,,,,,,,
AMDuProfCLI.exe Version 5.3.521.0,,,,,,,,,,
,,,,,,,,,,
LAUNCHED APPLICATION DETAILS,,,,,,,,,,
Target Path:,C:\Windows\System32\cmd.exe,,,,,,,,,
Command Line Arguments:,/c timeout 3600 ,,,,,,,,,
Working Directory:,C:\Program Files\AMD\AMDuProf\bin,,,,,,,,,
CPU Core Affinity Mask:,,,,,,,,,,
,,,,,,,,,,
PROFILE DETAILS,,,,,,,,,,
CPU Details:,Family(0x17) Model(0x60),,,,,,,,,
Sampling Interval:,1000 milli-seconds,,,,,,,,,
Profile Start Time:,Jul-26-2026_15-49-32,,,,,,,,,
,,,,,,,,,,
PROFILED COUNTERS,,,,,,,,,,
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION,,,,,,
48,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.,,,,,,
50,core0-power,Power,W,Core0-Average Power reported in Watts.,,,,,,
52,core1-power,Power,W,Core1-Average Power reported in Watts.,,,,,,
54,core2-power,Power,W,Core2-Average Power reported in Watts.,,,,,,
56,core3-power,Power,W,Core3-Average Power reported in Watts.,,,,,,
58,core4-power,Power,W,Core4-Average Power reported in Watts.,,,,,,
60,core5-power,Power,W,Core5-Average Power reported in Watts.,,,,,,
62,core6-power,Power,W,Core6-Average Power reported in Watts.,,,,,,
64,core7-power,Power,W,Core7-Average Power reported in Watts.,,,,,,
,,,,,,,,,,
PROFILE RECORDS,,,,,,,,,,
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power
1,15:49:33:636,38.76,4.76,4.65,4.46,4.87,4.08,4.41,3.9,4.9
2,15:49:34:642,43.15,4.78,5.11,5.13,5.27,5.18,5.11,5.15,5.23
3,15:49:35:649,33.19,3.47,3.59,3.71,3.8,3.63,3.21,4.21,3.06
4,15:49:36:653,27.92,2.59,2.9,2.35,2.46,3.56,2.78,3.28,3.82
5,15:49:37:654,34.73,3.46,3.26,3.4,4.68,3.92,4.34,3.93,4.04
6,15:49:38:663,34.4,3.47,3.68,3.82,4.2,3.87,4.1,3.52,3.73
7,15:49:39:664,30.48,3.28,3.09,2.96,3.52,3.49,3.21,3.29,3.18
8,15:49:40:666,29.69,3.29,3.22,3.28,3.22,2.93,3.07,2.9,3.42
9,15:49:41:668,20.9,1.42,2.95,1.71,2.31,1.7,1.74,1.6,2.02
10,15:49:42:674,13.66,1.11,0.49,0.44,1.01,1.79,0.83,1.06,1.57
11,15:49:43:676,28.3,2.23,1.3,5,1.4,2.67,1.26,4.23,5.27
12,15:49:44:686,39.94,4.33,4.54,5.15,5.08,4.24,4.36,4.35,4.82
13,15:49:45:689,33.5,2.87,3.55,4.09,4.66,3.59,3.52,2.93,4.15
14,15:49:46:692,29.51,2.68,2.9,2.81,3.11,3.33,2.17,3.01,4.95
15,15:49:47:698,26.37,5.94,2.48,3.15,3.19,1.88,1.51,1.18,1.39
16,15:49:48:707,29.1,5.14,2.19,3.69,3.23,2.86,1.21,2.42,2.95
17,15:49:49:711,29.2,1.26,2.6,5.06,1.59,2.94,2.12,2.23,5.7
18,15:49:50:714,31.98,3.02,2.18,3.94,3.16,3.71,3.56,4.03,4.31
19,15:49:51:720,26.87,2.44,2.2,1.76,2.5,2.88,3.48,2.99,3.38
20,15:49:52:726,29.57,3.31,4.39,3.42,3.41,2.78,2.54,2.27,2.19
21,15:49:53:730,14.21,1.13,2,0.89,0.85,0.89,0.75,0.69,0.81
22,15:49:54:735,33.87,3.13,4.4,4.14,3.37,3.02,4.25,3.19,3.34
23,15:49:55:738,27.4,2.41,3.02,2.57,2.55,2,4.2,2.04,1.84
24,15:49:56:739,28.88,3.34,2.14,3.03,3.23,2.87,2.54,2.82,2.66
25,15:49:57:747,31.35,3.52,2.66,2.33,3.44,3.59,3.5,3,2.48
26,15:49:58:754,23.19,2.66,1.88,1.3,2.29,1.98,2,2.13,1.02
27,15:49:59:760,15,1.6,0.77,0.44,0.3,1.16,0.66,1.84,0.62
28,15:50:0:767,14.07,1.67,2.03,0.56,0.36,0.62,0.48,0.37,0.66
29,15:50:1:775,14.6,0.77,0.8,0.71,0.6,1.52,0.75,1.42,1.95
30,15:50:2:780,32.92,3.8,4.96,3.53,5.11,2.93,3.23,2.69,2.85
31,15:50:3:789,36.15,3.66,4.91,3.92,5.15,4.39,3.64,3.32,3.66
32,15:50:4:798,39.39,4.87,5.35,4.54,4.87,3.67,4.45,3.88,4.74
33,15:50:5:804,20.53,2.66,3.53,2.08,1.48,1.68,0.78,0.66,1.06
34,15:50:6:810,30.24,3.31,3.96,3.46,2.7,2.59,3.32,2.58,3.57
35,15:50:7:812,28.08,2.19,3.83,3.54,1.2,3.29,2.97,3.58,3.31
36,15:50:8:819,22.94,1.98,3.56,0.63,1.54,3.46,3.07,0.81,2.39
37,15:50:9:820,22.77,1.02,2.12,2.34,1.63,2.35,1.5,0.64,5.82
38,15:50:10:822,24.89,1.55,2.71,1.18,2.41,2.84,4.66,2.74,2.15
39,15:50:11:823,30.05,2.64,3.43,2.17,5.86,2.04,4.91,2.71,3.23
40,15:50:12:828,25.37,3.19,2.71,2.72,4.22,1.42,3.01,1.38,1.27
41,15:50:13:829,23.45,4.67,2.31,2.71,1.45,2.46,1.63,1.04,1.36
42,15:50:14:836,25.35,2.32,3.5,2.66,1.98,3.28,1.9,1.78,3.39
43,15:50:15:836,13.32,0.82,1.68,1.23,0.64,1.09,0.75,0.86,0.86
44,15:50:16:842,24.28,3.09,3.04,1.78,1.78,2.3,1.61,2.43,2.93
45,15:50:17:844,30.87,4.3,3.84,3.32,4.04,2.46,2.86,3.09,2.96
46,15:50:18:852,20.34,1.22,2.48,1.82,2.43,1.39,1.92,1.43,2.14
47,15:50:19:856,29.22,3.02,3.24,3.75,3.3,3.54,2.68,2.31,2.17
48,15:50:20:862,30.37,2.16,3,2.47,4.01,2.65,3.36,4.23,3.57
49,15:50:21:868,34.01,4.03,3.59,3.21,4.44,3.54,3.3,4.95,4.16
50,15:50:22:868,28,3.76,3.96,3.63,2.74,3.01,2.23,2,2.38
51,15:50:23:877,15.96,1.76,1.72,1.39,1.14,1.49,1.07,1.49,1.22
52,15:50:24:877,11.27,0.78,0.59,0.57,0.6,0.9,1.02,1.35,0.75
53,15:50:25:885,27.19,2.85,2.97,2.93,2.99,3.05,2.3,2.62,2.91
54,15:50:26:890,32.37,4.45,3.61,4.02,4.39,3.24,2.71,3.38,2.63
55,15:50:27:893,32.25,4.97,3.66,3.51,4.51,4.56,2.1,3.11,2.48
56,15:50:28:901,10.67,0.69,0.36,1.51,0.46,0.39,0.4,0.44,1.12
57,15:50:29:910,23.84,2.09,3.05,2.15,2.08,2.43,1.99,2.96,2.1
58,15:50:30:912,28,2.59,4.79,2.95,4.54,2.38,3.85,2.21,0.99
59,15:50:31:916,24.41,1.07,1.18,3.43,3.78,4.38,1.79,2.71,1.99
60,15:50:32:923,23.54,2.35,1.94,1.59,1.66,2.07,2.44,3.57,1.77
61,15:50:33:929,33.29,3.76,3.89,3.25,3.87,3.79,5.46,3.49,2.76
62,15:50:34:932,24.66,1.66,2.41,2.44,1.92,3.69,3.73,1.69,2.27
63,15:50:35:935,25.92,2.52,3.71,2.7,2.5,2.32,2.52,2.09,2.57
64,15:50:36:937,29.69,2.27,3.78,3.87,2.8,3.86,3.12,1.98,4.55
65,15:50:37:940,24.18,1.18,3.43,0.92,0.77,3.49,3.68,1.26,4.01
66,15:50:38:946,24.29,1.81,4.18,2.34,1.59,2.08,1.59,1.94,2.59
67,15:50:39:949,31.55,3.33,4.25,4.59,4.66,3.18,1.83,3.61,2.08
68,15:50:40:952,26.61,2.78,2.69,2.95,3.54,2.34,2.3,2.14,2.09
69,15:50:41:959,30.65,2.66,4.03,3.64,3.25,3.61,2.29,4.12,3.05
70,15:50:42:959,30.46,3.33,3.49,3.19,3.73,2.93,2.19,4.71,2.86
71,15:50:43:965,15.58,1.06,1.65,0.86,0.98,1.13,1.14,0.87,1.99
72,15:50:44:969,18.48,1.91,1.68,1.88,1.49,1.9,1.39,1.44,1.5
73,15:50:45:972,31.5,4.38,4.29,3.54,4.32,2.55,2.55,2.6,3.06
74,15:50:46:974,35.82,3.63,4.18,3.75,5.76,4.05,3.84,3.94,4.33
75,15:50:47:983,26.32,2.22,2.82,2.57,5.34,2,1.5,2.72,1.61
76,15:50:48:986,12.22,0.64,0.79,0.78,0.99,0.67,0.61,0.56,1.38
