task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model
3,-,1394,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,samplesheet_test.csv,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1785078553936,1785078554020,1785078555782,1846,0,-,63.4,0.1,8159232,31907840,8159232,31911936,683645,1836,242,17,12173312,23,0,/home/pranay/nextflow_benchmarks/work/28/7166f991bf0cd7a551a7418053d197,-,-,AMD Ryzen 7 4800H with Radeon Graphics
4,-,1439,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,6442450944,1,1785078555791,1785078555882,1785078557788,1997,0,-,95.2,0.1,8777728,29466624,8777728,29470720,12234407,401931,1646,66,2912256,22,0,/home/pranay/nextflow_benchmarks/work/5a/c4a981d260318e10565fda42de03e1,-,-,AMD Ryzen 7 4800H with Radeon Graphics
1,-,1526,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/bwa:0.7.17--hed695b0_7,1,14400000,-,6442450944,1,1785078557799,1785078557888,1785078565486,7687,6000,-,98.7,1.6,132931584,151535616,132931584,151539712,49080238,33436122,1681,73,1613824,29,23,/home/pranay/nextflow_benchmarks/work/db/80919e69e4e6287c3daaf1d390b3bb,-,-,AMD Ryzen 7 4800H with Radeon Graphics
2,-,1584,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1785078565495,1785078565586,1785078566257,762,1000,-,56.9,0.0,6467584,12566528,6467584,12570624,12468636,5517,420,20,10280960,22,0,/home/pranay/nextflow_benchmarks/work/f6/fc1f18db8addb9af362cb2d53c52f3,-,-,AMD Ryzen 7 4800H with Radeon Graphics
5,-,1627,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa),COMPLETED,0,-,quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2,2,14400000,-,6442450944,1,1785078566264,1785078566392,1785078567686,1422,1000,-,340.4,0.1,10473472,16601088,10473472,16605184,16907680,3466,2465,23,46379008,27,0,/home/pranay/nextflow_benchmarks/work/c6/dfec44c9e52fc6368e3d20f89ad39c,-,-,AMD Ryzen 7 4800H with Radeon Graphics
9,-,1675,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T0_PE_REP2_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1785078567693,1785078567786,1785078573000,5307,3000,-,242.8,5.0,400551936,3961495552,403038208,3961663488,32549305,4172608,30510,12459,117075968,64,0,/home/pranay/nextflow_benchmarks/work/4e/c4f935b040a7eb025a30de87293f29,-,-,AMD Ryzen 7 4800H with Radeon Graphics
12,-,1721,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T100_SE_REP2_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1785078573007,1785078573100,1785078578257,5250,3000,-,186.2,3.2,256045056,3825176576,259604480,3851280384,26048479,2070873,17254,6227,0,4,0,/home/pranay/nextflow_benchmarks/work/96/e5cfeb18af1b0d5293d3823ce798ea,-,-,AMD Ryzen 7 4800H with Radeon Graphics
8,-,1769,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T0_PE_REP2_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T0_PE_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1785078578264,1785078578357,1785078590707,12443,12000,-,179.4,2.4,200273920,3480846336,200273920,3539857408,261531787,209635022,52745,37586,135462912,6143,6,/home/pranay/nextflow_benchmarks/work/05/c05ac796a8efeb0f10eede92be3f71,-,-,AMD Ryzen 7 4800H with Radeon Graphics
13,-,1820,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T100_SE_REP2_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1785078590713,1785078590807,1785078596021,5308,4000,-,184.1,2.2,182505472,3406684160,182505472,3406688256,101575890,69872783,24627,15393,0,1274,3,/home/pranay/nextflow_benchmarks/work/1a/7ab2bdf3c1efe61b6678efce131290,-,-,AMD Ryzen 7 4800H with Radeon Graphics
11,-,1868,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T100_SE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1785078596026,1785078596122,1785078601485,5459,5000,-,177.0,2.1,173178880,3406667776,173178880,3406680064,101164401,69411906,24590,15277,0,1291,1,/home/pranay/nextflow_benchmarks/work/d6/5a59051a0b8f5d7e40d36e9fafd303,-,-,AMD Ryzen 7 4800H with Radeon Graphics
7,-,1912,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T0_PE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1785078601491,1785078601586,1785078606923,5432,3000,-,275.8,4.7,382918656,4171165696,382918656,4236460032,32380469,4200044,30327,12584,0,5,4,/home/pranay/nextflow_benchmarks/work/c5/b4ec8b127d092980a83eb2b2448376,-,-,AMD Ryzen 7 4800H with Radeon Graphics
10,-,1960,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T100_SE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1785078606930,1785078607023,1785078611325,4395,3000,-,224.5,2.6,214016000,3757015040,214016000,3812204544,26071683,2078151,17295,6281,0,4,1,/home/pranay/nextflow_benchmarks/work/cb/8310a2748f5b8cf1dedfb6c5a875ed,-,-,AMD Ryzen 7 4800H with Radeon Graphics
6,-,2004,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T0_PE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T0_PE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1785078611330,1785078611425,1785078623275,11945,12000,-,180.0,3.1,256602112,3553280000,256602112,3616198656,259690620,207799410,52055,37323,0,5602,7,/home/pranay/nextflow_benchmarks/work/33/50d4efe25c603324de9035e3675e91,-,-,AMD Ryzen 7 4800H with Radeon Graphics
20,-,2051,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT,-,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT,COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,1,14400000,-,6442450944,1,1785078623282,1785078623375,1785078624108,826,26,-,111.1,0.0,3252224,4087808,3252224,4096000,900217,612235,378,73,1134592,3,0,/home/pranay/nextflow_benchmarks/work/fa/94bc9afd655c5c2b73ab246254f6d4,-,-,AMD Ryzen 7 4800H with Radeon Graphics
15,-,2095,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T150_SE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1785078624113,1785078624208,1785078628252,4139,3000,-,230.0,2.6,213626880,3688849408,214458368,3690311680,26196844,2069155,17515,6216,0,4,2,/home/pranay/nextflow_benchmarks/work/1a/d63d036769c27ac36187086fedd589,-,-,AMD Ryzen 7 4800H with Radeon Graphics
14,-,2135,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T150_SE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1785078628259,1785078628352,1785078633428,5169,5000,-,191.9,2.1,172675072,3474776064,172675072,3474780160,103120492,71162605,25171,15613,0,1281,6,/home/pranay/nextflow_benchmarks/work/57/46d7c53c322b04a58145f3891a3d8e,-,-,AMD Ryzen 7 4800H with Radeon Graphics
16,-,2178,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T150_SE_REP1_T2,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T2),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1785078633434,1785078633529,1785078639831,6397,6000,-,151.5,2.9,236990464,3619270656,236990464,3684286464,101947001,70043224,24883,15393,0,1843,12,/home/pranay/nextflow_benchmarks/work/72/23de10fa1dfa7a4efa636d396573fa,-,-,AMD Ryzen 7 4800H with Radeon Graphics
17,-,2224,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T150_SE_REP1_T2,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1785078639836,1785078639931,1785078644958,5122,3000,-,166.2,2.9,239259648,3757010944,242872320,3817832448,26157268,2092668,17461,6272,0,4,1,/home/pranay/nextflow_benchmarks/work/a7/c086e019824fe03e3a070e0c1fcafa,-,-,AMD Ryzen 7 4800H with Radeon Graphics
18,-,2267,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T15_PE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T15_PE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1785078644964,1785078645058,1785078657135,12171,11000,-,182.6,3.4,278970368,3555241984,278970368,3555246080,266954984,214730565,53455,38240,0,5906,13,/home/pranay/nextflow_benchmarks/work/e9/fd70258d693ae0ad1f74d3e066e061,-,-,AMD Ryzen 7 4800H with Radeon Graphics
19,-,2312,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T15_PE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1785078657142,1785078657236,1785078662363,5221,4000,-,234.1,4.8,385011712,4165980160,387133440,4230008832,32631808,4175341,30793,12448,0,4,1,/home/pranay/nextflow_benchmarks/work/77/5c615e19a10e46834c845c82e57a8a,-,-,AMD Ryzen 7 4800H with Radeon Graphics
22,-,2357,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T15_PE_REP1_T2,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T15_PE_REP1_T2),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1785078662369,1785078662463,1785078674632,12263,12000,-,173.9,3.4,280547328,3553202176,280547328,3616120832,262544425,210358506,53174,37655,0,5802,17,/home/pranay/nextflow_benchmarks/work/b2/06abf74b3e63a2847bfd6c41a5c8c1,-,-,AMD Ryzen 7 4800H with Radeon Graphics
21,-,2406,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T15_PE_REP1_T2,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1785078674638,1785078674733,1785078679883,5245,3000,-,283.9,5.2,422563840,4029657088,422715392,4029661184,32797174,4205042,30956,12541,0,4,2,/home/pranay/nextflow_benchmarks/work/c2/945e96bf7eae58589a4eb605263008,-,-,AMD Ryzen 7 4800H with Radeon Graphics
23,-,2450,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES,genome.fa.fai,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1785078679888,1785078679983,1785078681584,1696,0,-,100.9,0.1,11968512,34717696,11968512,34721792,664119,397,238,17,0,1,0,/home/pranay/nextflow_benchmarks/work/44/71bc6757960de1de740c7049ad526e,-,-,AMD Ryzen 7 4800H with Radeon Graphics
