Unnamed: 0,source_dataset,node,source_workflow,process,runtime_s,peak_mem,energy_j,rchar,cpus,concurrent_task_count,cores,ram,cpu_benchmark,io_read,io_write,task_type
0.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:CUSTOM_DUMPSOFTWAREVERSIONS,588.0,4816896.0,66.0825,,1.0,0.0,32.0,64.0,306.01,109.0,90.9,CUSTOM_DUMPSOFTWAREVERSIONS
1.0,augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:CUSTOM_DUMPSOFTWAREVERSIONS,7671.0,4634624.0,248.8336,,1.0,0.0,32.0,64.0,306.15,109.0,91.4,CUSTOM_DUMPSOFTWAREVERSIONS
2.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,7500.0,7157760.0,621.2081000000001,,1.0,1.0,32.0,64.0,306.01,109.0,90.9,SAMTOOLS_FLAGSTAT
3.0,augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,7000.0,7192576.0,585.876,,1.0,1.0,32.0,64.0,306.15,109.0,91.4,SAMTOOLS_FLAGSTAT
4.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,12000.0,7196672.0,1052.5113,,1.0,1.0,32.0,64.0,306.01,109.0,90.9,SAMTOOLS_FLAGSTAT
5.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,46000.0,7303168.0,3774.2123,,1.0,3.0,32.0,64.0,306.01,109.0,90.9,SAMTOOLS_FLAGSTAT
6.0,augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,49000.0,7159808.0,3410.91215,,1.0,1.0,32.0,64.0,306.15,109.0,91.4,SAMTOOLS_FLAGSTAT
7.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,38500.0,7331840.0,3096.597,,1.0,2.0,32.0,64.0,306.01,109.0,90.9,SAMTOOLS_FLAGSTAT
8.0,augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,40000.0,7196672.0,2845.9198,,1.0,1.0,32.0,64.0,306.15,109.0,91.4,SAMTOOLS_FLAGSTAT
9.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,31000.0,7303168.0,2446.7507,,1.0,2.0,32.0,64.0,306.01,109.0,90.9,SAMTOOLS_FLAGSTAT
10.0,augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,29000.0,7323648.0,2674.0137,,1.0,1.0,32.0,64.0,305.84,109.0,90.8,SAMTOOLS_FLAGSTAT
11.0,augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,33000.0,7090176.0,2382.4192,,1.0,1.0,32.0,64.0,306.15,109.0,91.4,SAMTOOLS_FLAGSTAT
12.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,28500.0,7061504.0,2310.027,,1.0,2.0,32.0,64.0,306.01,109.0,90.9,SAMTOOLS_FLAGSTAT
13.0,augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,31000.0,7282688.0,2596.7811,,1.0,1.0,32.0,64.0,305.84,109.0,90.8,SAMTOOLS_FLAGSTAT
14.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,0.0,3170304.0,,,1.0,0.0,32.0,64.0,306.01,109.0,90.9,SAMTOOLS_IDXSTATS
15.0,augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,0.0,3117056.0,178.0872,,1.0,1.0,32.0,64.0,305.84,109.0,90.8,SAMTOOLS_IDXSTATS
16.0,augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,1000.0,3211264.0,139.1083,,1.0,1.0,32.0,64.0,306.15,109.0,91.4,SAMTOOLS_IDXSTATS
17.0,augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,0.0,3108864.0,,,1.0,0.0,32.0,64.0,306.01,109.0,90.9,SAMTOOLS_IDXSTATS
18.0,augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,0.0,4939776.0,80.7519,,1.0,1.0,32.0,64.0,305.84,109.0,90.8,SAMTOOLS_IDXSTATS
19.0,augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,0.0,3002368.0,66.3694,,1.0,1.0,32.0,64.0,306.15,109.0,91.4,SAMTOOLS_IDXSTATS
