task_id,name,status,exit,start,complete,realtime,%cpu,peak_rss,rchar,start_dt,complete_dt,start_sec,complete_sec,task_type,measured_energy_j
4,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv),COMPLETED,0,2026-07-22 02:14:24.994,2026-07-22 02:14:27.014,0ms,64.6%,8.8 MB,667.6 KB,2026-07-22 02:14:24.994,2026-07-22 02:14:27.014,8064.994,8067.014,SAMPLESHEET_CHECK,82.9
5,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,2026-07-22 02:14:27.114,2026-07-22 02:14:27.897,0ms,65.2%,6.3 MB,11.9 MB,2026-07-22 02:14:27.114,2026-07-22 02:14:27.897,8067.114,8067.897,CUSTOM_GETCHROMSIZES,44.91
3,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa),COMPLETED,0,2026-07-22 02:14:28.098,2026-07-22 02:14:38.210,8s,99.3%,126.9 MB,46.8 MB,2026-07-22 02:14:28.098,2026-07-22 02:14:38.210,8068.098,8078.21,BWA_INDEX,373.59
2,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa),COMPLETED,0,2026-07-22 02:14:38.310,2026-07-22 02:14:39.680,1s,321.4%,10 MB,16.1 MB,2026-07-22 02:14:38.310,2026-07-22 02:14:39.680,8078.31,8079.68,KHMER_UNIQUEKMERS,37.34
1,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,2026-07-22 02:14:39.780,2026-07-22 02:14:41.619,0ms,96.4%,8.1 MB,11.7 MB,2026-07-22 02:14:39.780,2026-07-22 02:14:41.619,8079.78,8081.619,GTF2BED,74.86
7,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T0_PE_REP1_T1),COMPLETED,0,2026-07-22 02:14:41.720,2026-07-22 02:14:55.971,13s,185.3%,265.1 MB,247.7 MB,2026-07-22 02:14:41.720,2026-07-22 02:14:55.971,8081.72,8095.971,TRIMGALORE,620.8000000000001
6,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1),COMPLETED,0,2026-07-22 02:14:56.071,2026-07-22 02:15:02.274,5s,239.7%,383.7 MB,31.1 MB,2026-07-22 02:14:56.071,2026-07-22 02:15:02.274,8096.071,8102.274,FASTQC,236.89999999999998
14,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai),COMPLETED,0,2026-07-22 02:15:02.374,2026-07-22 02:15:04.026,0ms,89.9%,12 MB,648.5 KB,2026-07-22 02:15:02.374,2026-07-22 02:15:04.026,8102.374,8104.026,GET_AUTOSOMES,85.92
15,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,2026-07-22 02:15:04.127,2026-07-22 02:15:05.882,0ms,65.3%,5.8 MB,42.7 KB,2026-07-22 02:15:04.127,2026-07-22 02:15:05.882,8104.127,8105.882,GENOME_BLACKLIST_REGIONS,47.58
10,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP1_T1),COMPLETED,0,2026-07-22 02:15:05.982,2026-07-22 02:15:11.279,4s,197.8%,207.6 MB,24.9 MB,2026-07-22 02:15:05.982,2026-07-22 02:15:11.279,8105.982,8111.279,FASTQC,252.35
