task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model,measured_energy_j,task_type,source_dataset,source_workflow,node
5,-,242594,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,samplesheet_test.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1787441863734,1787441863751,1787441867676,3942,0,-,72.0,0.0,10416128,33263616,10416128,33267712,681403,1910,244,17,8192,12288,1,0,/home/ahmed/pranay/work/e5/a48f836d768a0f818b51e1a68b4f83,-,-,12th Gen Intel(R) Core(TM) i5-12400,33.444860999999996,SAMPLESHEET_CHECK,intel_i5,rnaseq,intel_i5
4,-,242852,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,6442450944,1,1787441865380,1787441865456,1787441868073,2693,0,-,72.0,0.0,6504448,12427264,6504448,12431360,12471985,5494,423,20,0,16384,1,0,/home/ahmed/pranay/work/c6/d982e6413c87880a0f7ded57b0a806,-,-,12th Gen Intel(R) Core(TM) i5-12400,9.604651,CUSTOM_GETCHROMSIZES,intel_i5,rnaseq,intel_i5
1,-,242823,NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa),COMPLETED,0,-,quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2,2,14400000,-,6442450944,1,1787441865374,1787441865455,1787441868607,3233,1000,-,287.3,0.0,5713920,13352960,5713920,13361152,16911011,3437,2468,23,22147072,16384,16,0,/home/ahmed/pranay/work/a6/20453e907082c25029774301046e21,-,-,12th Gen Intel(R) Core(TM) i5-12400,35.694611,KHMER_UNIQUEKMERS,intel_i5,rnaseq,intel_i5
3,-,242920,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,6442450944,1,1787441865797,1787441865856,1787441869156,3359,1000,-,73.4,0.0,4751360,27693056,4751360,27701248,12237805,401926,1649,66,2232320,409600,5,1,/home/ahmed/pranay/work/02/413c9fbe52ff9ddaa7a29dd402b123,-,-,12th Gen Intel(R) Core(TM) i5-12400,35.694611,GTF2BED,intel_i5,rnaseq,intel_i5
8,-,243569,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1787441868080,1787441868174,1787441869393,1313,0,-,66.7,0.0,2924544,11583488,2924544,11587584,44938,595,140,33,0,12288,2,0,/home/ahmed/pranay/work/ce/7f0bc438aee27902f43ce9a3fd45cd,-,-,12th Gen Intel(R) Core(TM) i5-12400,26.08996,GENOME_BLACKLIST_REGIONS,intel_i5,rnaseq,intel_i5
7,-,244050,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,SPT5_INPUT_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1787441869749,1787441869794,1787441873640,3891,3000,-,213.7,0.9,320135168,3620626432,320135168,3675820032,29895514,3360343,25373,10677,2805760,3780608,20,3,/home/ahmed/pranay/work/6d/f9c91327346a79e4a5c15963f1e44e,-,-,12th Gen Intel(R) Core(TM) i5-12400,174.671672,FASTQC,intel_i5,rnaseq,intel_i5
2,-,242832,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/bwa:0.7.17--hed695b0_7,2,21600000,-,6442450944,1,1787441865377,1787441865456,1787441874528,9151,6000,-,73.0,0.4,133087232,151535616,133087232,151539712,49083627,33436117,1680,73,380928,33476608,61,753,/home/ahmed/pranay/work/a4/7c80171e52a0cb95d9f2be50c6ad3e,-,-,12th Gen Intel(R) Core(TM) i5-12400,279.31251799999995,BWA_INDEX,intel_i5,rnaseq,intel_i5
9,-,244471,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,SPT5_INPUT_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1787441870417,1787441870495,1787441874645,4228,3000,-,192.2,0.9,292401152,3620630528,292401152,3675820032,29890148,3331550,25310,10641,0,3694592,4,5,/home/ahmed/pranay/work/49/4d286699477a16c8c4aa06779a01aa,-,-,12th Gen Intel(R) Core(TM) i5-12400,189.330631,FASTQC,intel_i5,rnaseq,intel_i5
12,-,246049,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,SPT5_T0_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T0_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1787441873642,1787441873740,1787441880730,7088,4000,-,226.9,1.1,367874048,3620630528,371671040,3675820032,32389876,4194958,30227,12487,0,4718592,4,5,/home/ahmed/pranay/work/30/a234144dffa1c8affddd8c81895664,-,-,12th Gen Intel(R) Core(TM) i5-12400,324.350793,FASTQC,intel_i5,rnaseq,intel_i5
15,-,246702,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,SPT5_T15_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1787441874647,1787441874746,1787441880828,6181,3000,-,267.0,1.0,350208000,3620626432,350838784,3677917184,32640466,4174032,30687,12492,0,4562944,4,18,/home/ahmed/pranay/work/cc/22a9c75fc085e52d3bbe3100952da2,-,-,12th Gen Intel(R) Core(TM) i5-12400,278.871539,FASTQC,intel_i5,rnaseq,intel_i5
