train,test,target,target_fraction,r2,spearman,n_train,n_test
augur_gu,augur_hu,runtime_s,0.0,-0.06869523014023882,0.9663287096316087,1862,10606
augur_gu,augur_hu,runtime_s,0.05,0.7687037179928253,0.9854329955860973,2392,10076
augur_gu,augur_hu,runtime_s,0.1,0.7751844011601814,0.9892257657106989,2922,9546
augur_gu,augur_hu,runtime_s,0.2,0.7861400211599436,0.9909779731811971,3983,8485
augur_gu,augur_hu,runtime_s,0.5,0.7042872847104312,0.9946501596208155,7165,5303
augur_gu,augur_hu,peak_mem,0.0,0.9500795251184149,0.9539904341637939,1988,11855
augur_gu,augur_hu,peak_mem,0.05,0.9887945353504815,0.9803804762813915,2580,11263
augur_gu,augur_hu,peak_mem,0.1,0.9913252023972172,0.9826716086057675,3173,10670
augur_gu,augur_hu,peak_mem,0.2,0.9915848725635176,0.9852771269742073,4359,9484
augur_gu,augur_hu,peak_mem,0.5,0.995147449157929,0.9891193686829013,7915,5928
augur_gu,augur_hu,energy_j,0.0,0.694167463884841,0.9628493093228631,1903,10817
augur_gu,augur_hu,energy_j,0.05,0.9099736313041125,0.9865550473255299,2443,10277
augur_gu,augur_hu,energy_j,0.1,0.9129914760572779,0.9896146885805359,2984,9736
augur_gu,augur_hu,energy_j,0.2,0.9126398054244144,0.9904742409362768,4066,8654
augur_gu,augur_hu,energy_j,0.5,0.9793491318076208,0.9918630009942262,7311,5409
augur_hu,augur_gu,runtime_s,0.0,0.6032623928307799,0.9614197075390656,10606,1862
augur_hu,augur_gu,runtime_s,0.05,0.7009957208967292,0.9539005074604978,10699,1769
augur_hu,augur_gu,runtime_s,0.1,0.8383827956838998,0.9630543324229494,10792,1676
augur_hu,augur_gu,runtime_s,0.2,0.9119262900549271,0.976968325445084,10978,1490
augur_hu,augur_gu,runtime_s,0.5,0.978008121567863,0.9825965136444273,11537,931
augur_hu,augur_gu,peak_mem,0.0,0.9717703033632061,0.9352790318448488,11855,1988
augur_hu,augur_gu,peak_mem,0.05,0.9723540302028955,0.9330634328840568,11954,1889
augur_hu,augur_gu,peak_mem,0.1,0.9756115696218828,0.9552934325684737,12053,1790
augur_hu,augur_gu,peak_mem,0.2,0.9903174209594704,0.9796818573834248,12252,1591
augur_hu,augur_gu,peak_mem,0.5,0.9913386212310488,0.9853976487529058,12849,994
augur_hu,augur_gu,energy_j,0.0,0.7893772503636465,0.9643197047016904,10817,1903
augur_hu,augur_gu,energy_j,0.05,0.9243480928404199,0.969475731686753,10912,1808
augur_hu,augur_gu,energy_j,0.1,0.9595465422719976,0.976885716387053,11007,1713
augur_hu,augur_gu,energy_j,0.2,0.967556205152017,0.9826785654334365,11197,1523
augur_hu,augur_gu,energy_j,0.5,0.977765522198857,0.98812962277624,11768,952
