train,test,target,target_fraction,r2,n_train,n_test
augur_gu,augur_hu,runtime_s,0.0,-0.06869523014023882,1862,10606
augur_gu,augur_hu,runtime_s,0.05,0.7687037179928253,2392,10076
augur_gu,augur_hu,runtime_s,0.1,0.7751844011601814,2922,9546
augur_gu,augur_hu,runtime_s,0.2,0.7861400211599436,3983,8485
augur_gu,augur_hu,runtime_s,0.5,0.7042872847104312,7165,5303
augur_gu,augur_hu,peak_mem,0.0,0.9500795251184149,1988,11855
augur_gu,augur_hu,peak_mem,0.05,0.9887945353504815,2580,11263
augur_gu,augur_hu,peak_mem,0.1,0.9913252023972172,3173,10670
augur_gu,augur_hu,peak_mem,0.2,0.9915848725635176,4359,9484
augur_gu,augur_hu,peak_mem,0.5,0.995147449157929,7915,5928
augur_gu,augur_hu,energy_j,0.0,0.694167463884841,1903,10817
augur_gu,augur_hu,energy_j,0.05,0.9099736313041125,2443,10277
augur_gu,augur_hu,energy_j,0.1,0.9129914760572779,2984,9736
augur_gu,augur_hu,energy_j,0.2,0.9126398054244144,4066,8654
augur_gu,augur_hu,energy_j,0.5,0.9793491318076208,7311,5409
augur_hu,augur_gu,runtime_s,0.0,0.6032623928307799,10606,1862
augur_hu,augur_gu,runtime_s,0.05,0.7009957208967292,10699,1769
augur_hu,augur_gu,runtime_s,0.1,0.8383827956838998,10792,1676
augur_hu,augur_gu,runtime_s,0.2,0.9119262900549271,10978,1490
augur_hu,augur_gu,runtime_s,0.5,0.978008121567863,11537,931
augur_hu,augur_gu,peak_mem,0.0,0.9717703033632061,11855,1988
augur_hu,augur_gu,peak_mem,0.05,0.9723540302028955,11954,1889
augur_hu,augur_gu,peak_mem,0.1,0.9756115696218828,12053,1790
augur_hu,augur_gu,peak_mem,0.2,0.9903174209594704,12252,1591
augur_hu,augur_gu,peak_mem,0.5,0.9913386212310488,12849,994
augur_hu,augur_gu,energy_j,0.0,0.7893772503636465,10817,1903
augur_hu,augur_gu,energy_j,0.05,0.9243480928404199,10912,1808
augur_hu,augur_gu,energy_j,0.1,0.9595465422719976,11007,1713
augur_hu,augur_gu,energy_j,0.2,0.967556205152017,11197,1523
augur_hu,augur_gu,energy_j,0.5,0.977765522198857,11768,952
