AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-57-22,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,1:57:23:591,   14.27,    1.61,    2.37,    0.79,    1.20,    2.68,    0.91
2,1:57:24:592,    4.29,    0.60,    0.65,    0.11,    0.23,    0.76,    0.16
3,1:57:25:594,   10.55,    0.93,    1.77,    0.48,    0.69,    2.51,    0.53
4,1:57:26:597,   23.09,    3.21,    4.46,    1.58,    1.44,    4.69,    2.71
5,1:57:27:603,   32.29,    4.62,    5.73,    3.33,    1.49,    5.71,    4.60
6,1:57:28:607,   32.77,    4.97,    5.45,    3.46,    1.79,    5.14,    4.84
7,1:57:29:609,   21.65,    3.12,    3.66,    2.05,    1.01,    3.64,    3.07
8,1:57:30:614,   32.23,    5.01,    5.42,    3.07,    2.20,    5.35,    4.32
9,1:57:31:623,   33.77,    4.85,    5.30,    2.61,    4.48,    5.31,    4.30
10,1:57:32:624,   32.43,    4.43,    5.38,    2.18,    4.50,    5.14,    3.59
11,1:57:33:627,   30.72,    4.14,    5.57,    1.86,    4.23,    5.23,    2.71
12,1:57:34:631,   30.17,    3.36,    4.47,    1.79,    4.67,    5.85,    2.69
13,1:57:35:632,   33.23,    4.63,    5.48,    2.15,    4.46,    5.23,    3.60
14,1:57:36:638,   33.74,    4.52,    5.58,    2.03,    4.28,    5.71,    3.90
15,1:57:37:646,   32.99,    4.41,    5.30,    1.79,    4.50,    5.17,    4.26
16,1:57:38:646,   30.41,    3.78,    4.99,    1.55,    4.15,    5.37,    3.24
17,1:57:39:647,   30.43,    3.66,    5.42,    1.45,    4.52,    4.96,    3.01
18,1:57:40:648,   29.92,    4.66,    5.34,    2.57,    1.11,    5.32,    4.03
19,1:57:41:656,   27.20,    3.94,    4.60,    2.56,    2.58,    5.08,    2.97
20,1:57:42:665,   17.92,    2.01,    2.50,    1.26,    3.58,    2.50,    1.50
21,1:57:43:670,   21.17,    2.42,    3.18,    1.81,    3.67,    3.30,    1.95
22,1:57:44:674,   17.95,    2.04,    2.58,    1.57,    3.37,    2.40,    1.72
23,1:57:45:681,   28.87,    3.99,    4.79,    2.91,    4.03,    4.76,    3.25
24,1:57:46:685,   30.25,    4.09,    4.97,    3.57,    4.44,    4.61,    3.73
25,1:57:47:688,   31.67,    4.17,    5.45,    3.36,    4.23,    4.83,    3.63
26,1:57:48:694,   29.45,    3.78,    4.71,    2.92,    4.12,    4.22,    3.17
27,1:57:49:697,   28.92,    3.75,    4.66,    2.91,    4.29,    4.12,    3.13
28,1:57:50:702,   28.15,    3.28,    4.67,    2.60,    4.18,    4.16,    2.86
29,1:57:51:704,   12.97,    0.37,    4.15,    0.18,    0.13,    1.30,    0.25
30,1:57:52:710,   12.02,    0.72,    1.87,    0.34,    1.13,    2.08,    0.45
31,1:57:53:713,   17.91,    2.49,    3.62,    1.52,    1.56,    3.61,    2.09
32,1:57:54:723,   17.55,    1.94,    2.99,    0.97,    3.38,    3.02,    1.34
33,1:57:55:729,    8.06,    0.94,    1.17,    0.60,    0.70,    1.26,    0.93
34,1:57:56:729,   27.84,    4.80,    4.87,    3.63,    3.74,    4.91,    4.23
35,1:57:57:735,   26.10,    3.87,    5.18,    2.95,    2.52,    5.15,    3.47
36,1:57:58:743,   24.01,    2.79,    4.93,    1.88,    2.73,    4.89,    2.38
37,1:57:59:750,   27.25,    3.20,    4.25,    2.57,    4.08,    4.57,    2.93
38,1:58:0:756,   11.38,    0.69,    1.41,    0.51,    2.66,    1.38,    0.76
39,1:58:1:763,   24.29,    3.01,    3.68,    2.53,    4.05,    3.63,    2.79
40,1:58:2:769,   26.27,    2.66,    4.68,    1.23,    4.98,    4.24,    2.28
41,1:58:3:777,   30.13,    3.29,    5.09,    1.71,    5.07,    5.09,    3.15
42,1:58:4:783,   27.16,    3.04,    4.31,    2.17,    4.54,    4.19,    2.66
43,1:58:5:783,   15.04,    1.26,    1.84,    0.97,    3.30,    1.83,    1.34
45,1:58:7:785,   29.84,    3.15,    4.52,    2.63,    4.18,    3.18,    3.24
46,1:58:8:786,   29.36,    3.38,    5.15,    2.92,    5.01,    4.78,    2.39
47,1:58:9:792,   27.92,    3.32,    5.90,    1.55,    4.90,    3.98,    2.37
48,1:58:10:795,   26.63,    3.49,    4.68,    1.55,    5.30,    3.03,    1.82
49,1:58:11:797,   26.96,    3.03,    5.40,    2.15,    4.77,    4.29,    2.37
50,1:58:12:798,   23.66,    1.63,    6.01,    1.09,    1.50,    6.18,    1.32
51,1:58:13:801,   20.82,    2.30,    3.98,    0.98,    0.35,    6.12,    1.50
52,1:58:14:803,   25.10,    3.33,    5.50,    1.07,    0.53,    4.98,    2.30
53,1:58:15:804,   11.89,    1.64,    2.22,    0.68,    0.58,    5.53,    1.00
54,1:58:16:811,   17.52,    2.02,    3.47,    0.95,    0.51,    2.36,    1.50
55,1:58:17:816,   22.16,    2.35,    4.99,    0.97,    0.63,    3.90,    1.57
56,1:58:18:816,   17.36,    2.18,    3.82,    1.25,    0.62,    5.15,    1.52
57,1:58:19:823,   27.65,    3.30,    4.96,    2.34,    1.10,    3.04,    2.76
58,1:58:20:826,   28.25,    3.37,    4.93,    2.17,    4.40,    4.77,    2.78
59,1:58:21:829,   32.83,    4.45,    5.59,    2.77,    4.18,    4.87,    3.89
60,1:58:22:830,   16.76,    1.91,    3.79,    1.29,    4.22,    5.83,    1.60
61,1:58:23:836,    8.26,    0.59,    1.32,    0.14,    1.15,    2.63,    0.30
62,1:58:24:840,   26.17,    2.77,    4.75,    2.13,    0.99,    1.27,    2.39
63,1:58:25:847,   26.37,    3.36,    3.59,    1.33,    4.33,    4.59,    1.67
64,1:58:26:857,   27.23,    3.58,    4.58,    1.65,    4.72,    5.29,    1.91
65,1:58:27:861,   21.00,    2.21,    4.93,    1.21,    4.67,    5.03,    1.61
66,1:58:28:863,   23.00,    2.66,    4.85,    1.33,    1.00,    3.88,    1.99
67,1:58:29:865,   26.09,    3.22,    4.56,    2.17,    0.55,    5.28,    2.47
68,1:58:30:869,   25.38,    2.83,    4.77,    1.19,    3.76,    4.37,    2.00
69,1:58:31:875,   32.42,    3.59,    5.60,    3.29,    4.22,    4.07,    3.16
70,1:58:32:881,   15.44,    1.53,    2.30,    1.22,    4.82,    5.42,    1.35
71,1:58:33:887,   24.98,    3.02,    3.66,    2.74,    3.08,    2.10,    2.92
72,1:58:34:890,   26.82,    2.68,    3.91,    1.40,    4.08,    3.67,    2.77
73,1:58:35:897,   29.54,    3.49,    4.42,    1.98,    6.00,    3.98,    2.83
74,1:58:36:902,   33.73,    4.26,    5.03,    3.68,    5.27,    4.67,    4.20
75,1:58:37:911,   33.88,    4.21,    5.20,    3.59,    4.83,    5.28,    4.03
76,1:58:38:921,   26.32,    2.08,    4.51,    1.23,    4.91,    5.09,    1.66
77,1:58:39:929,   20.24,    1.88,    2.83,    1.45,    4.86,    5.08,    1.78
78,1:58:40:933,   25.38,    2.86,    4.51,    1.62,    3.86,    3.06,    2.29
79,1:58:41:937,   30.07,    3.61,    5.20,    2.34,    4.00,    4.41,    3.11
80,1:58:42:945,   31.00,    3.90,    5.76,    2.61,    4.03,    5.34,    3.34
81,1:58:43:952,   14.24,    1.69,    2.64,    0.86,    4.08,    5.28,    1.18
82,1:58:44:960,    8.67,    0.70,    1.15,    0.30,    0.75,    2.54,    0.43
83,1:58:45:970,   27.07,    3.14,    4.72,    2.09,    0.98,    1.02,    2.41
84,1:58:46:977,   27.07,    3.60,    5.06,    1.54,    4.40,    4.70,    1.77
85,1:58:47:985,   27.72,    3.68,    4.52,    1.87,    4.57,    4.35,    2.30
86,1:58:48:985,   21.39,    3.21,    2.54,    0.53,    4.47,    5.17,    1.07
87,1:58:49:987,   24.56,    2.39,    5.67,    1.21,    1.11,    6.54,    1.54
