AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-30-25,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,1:30:26:732,    4.84,    0.56,    0.47,    0.20,    0.56,    0.51,    0.14
2,1:30:27:732,   19.83,    2.17,    2.99,    1.56,    3.54,    3.04,    1.83
3,1:30:28:739,   33.95,    4.60,    5.54,    2.97,    4.69,    5.36,    4.15
4,1:30:29:744,   34.83,    4.57,    5.23,    3.57,    4.64,    5.28,    4.74
5,1:30:30:749,   29.78,    3.87,    4.50,    2.52,    4.08,    4.67,    3.53
6,1:30:31:751,   29.37,    3.95,    4.79,    2.49,    3.79,    4.60,    3.37
7,1:30:32:752,   34.19,    4.70,    5.20,    3.67,    4.62,    5.33,    4.07
8,1:30:33:754,   34.35,    4.62,    5.42,    2.77,    4.67,    5.47,    3.96
9,1:30:34:762,   34.14,    4.78,    5.67,    2.30,    4.33,    5.42,    4.08
10,1:30:35:767,   34.27,    4.40,    5.13,    2.88,    4.75,    5.44,    4.13
11,1:30:36:773,   33.64,    4.59,    5.55,    1.93,    4.41,    5.50,    4.19
12,1:30:37:773,   32.03,    4.42,    5.06,    2.05,    4.07,    5.17,    4.24
13,1:30:38:778,   30.06,    3.77,    5.47,    1.27,    4.09,    5.52,    2.57
14,1:30:39:785,   28.06,    2.76,    6.23,    1.27,    4.37,    4.31,    1.75
15,1:30:40:792,   26.64,    3.05,    4.78,    1.95,    4.42,    4.48,    2.35
16,1:30:41:797,   31.15,    4.24,    4.97,    2.26,    4.23,    4.77,    3.62
17,1:30:42:800,   31.11,    4.09,    5.26,    2.76,    4.36,    5.07,    3.24
18,1:30:43:809,   27.32,    3.84,    3.86,    2.94,    4.66,    4.07,    3.15
19,1:30:44:811,   22.09,    2.33,    3.17,    1.73,    4.17,    3.82,    2.00
20,1:30:45:812,   30.08,    4.31,    4.81,    3.54,    4.63,    4.66,    3.58
21,1:30:46:817,   33.02,    4.45,    4.96,    3.80,    4.76,    5.28,    4.33
22,1:30:47:817,   29.34,    3.33,    3.76,    3.19,    4.44,    4.62,    3.37
23,1:30:48:820,   31.10,    4.04,    4.37,    3.22,    5.03,    4.55,    3.61
24,1:30:49:820,   30.21,    3.74,    4.44,    2.77,    4.93,    4.31,    3.37
25,1:30:50:820,   23.88,    1.91,    3.70,    1.54,    5.25,    2.70,    1.79
26,1:30:51:825,   20.60,    1.21,    3.49,    1.33,    5.28,    1.72,    1.12
27,1:30:52:829,   16.13,    0.84,    1.17,    1.27,    4.33,    2.30,    0.81
28,1:30:53:831,   17.76,    1.90,    2.51,    1.97,    3.60,    2.35,    1.71
29,1:30:54:836,   29.15,    3.54,    4.44,    3.24,    4.83,    4.39,    3.13
30,1:30:55:843,   31.90,    4.70,    5.63,    3.15,    5.01,    5.65,    3.51
31,1:30:56:848,   17.11,    1.36,    1.90,    1.45,    3.68,    2.68,    1.10
32,1:30:57:856,   20.44,    2.23,    2.83,    2.08,    4.00,    2.90,    2.04
33,1:30:58:866,   13.59,    1.21,    1.56,    0.80,    2.97,    1.80,    1.05
34,1:30:59:871,   24.71,    2.92,    3.76,    2.46,    4.14,    3.92,    2.74
35,1:31:0:878,   27.38,    3.17,    4.82,    1.42,    4.93,    4.33,    2.40
36,1:31:1:885,   32.67,    4.15,    5.36,    2.73,    5.34,    5.41,    3.51
37,1:31:2:894,   31.85,    4.09,    5.43,    2.63,    5.23,    4.63,    3.15
38,1:31:3:898,   14.80,    1.02,    2.11,    0.66,    3.14,    2.09,    1.09
39,1:31:4:906,   20.83,    2.33,    2.94,    2.19,    3.82,    2.94,    2.34
40,1:31:5:912,   26.77,    2.87,    4.60,    1.92,    4.88,    4.18,    2.04
41,1:31:6:918,   30.29,    3.86,    5.26,    2.31,    5.31,    4.43,    2.54
42,1:31:7:920,   31.13,    3.92,    5.63,    2.72,    5.18,    4.77,    2.63
43,1:31:8:920,   32.57,    3.66,    5.21,    3.06,    4.85,    5.85,    3.73
44,1:31:9:929,   30.31,    3.47,    4.55,    2.15,    4.42,    6.57,    2.70
