AMDPROFILER POWER PROFILE REPORT,,,,,,,,,,
,,,,,,,,,,
AMDuProfCLI.exe Version 5.3.521.0,,,,,,,,,,
,,,,,,,,,,
LAUNCHED APPLICATION DETAILS,,,,,,,,,,
Target Path:,C:\Windows\System32\cmd.exe,,,,,,,,,
Command Line Arguments:,/c timeout 3600 ,,,,,,,,,
Working Directory:,C:\Program Files\AMD\AMDuProf\bin,,,,,,,,,
CPU Core Affinity Mask:,,,,,,,,,,
,,,,,,,,,,
PROFILE DETAILS,,,,,,,,,,
CPU Details:,Family(0x17) Model(0x60),,,,,,,,,
Sampling Interval:,1000 milli-seconds,,,,,,,,,
Profile Start Time:,Jul-28-2026_16-19-02,,,,,,,,,
,,,,,,,,,,
PROFILED COUNTERS,,,,,,,,,,
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION,,,,,,
48,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.,,,,,,
50,core0-power,Power,W,Core0-Average Power reported in Watts.,,,,,,
52,core1-power,Power,W,Core1-Average Power reported in Watts.,,,,,,
54,core2-power,Power,W,Core2-Average Power reported in Watts.,,,,,,
56,core3-power,Power,W,Core3-Average Power reported in Watts.,,,,,,
58,core4-power,Power,W,Core4-Average Power reported in Watts.,,,,,,
60,core5-power,Power,W,Core5-Average Power reported in Watts.,,,,,,
62,core6-power,Power,W,Core6-Average Power reported in Watts.,,,,,,
64,core7-power,Power,W,Core7-Average Power reported in Watts.,,,,,,
,,,,,,,,,,
PROFILE RECORDS,,,,,,,,,,
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power
1,16:19:3:690,10.12,0.55,0.71,0.76,0.77,0.62,0.44,0.32,0.24
2,16:19:4:692,8.06,0.45,0.48,0.56,0.2,0.23,0.27,0.2,0.36
3,16:19:5:701,8.54,0.68,0.48,0.44,0.27,0.41,0.37,0.32,0.34
4,16:19:6:709,12.1,2.32,1.28,0.75,0.5,0.52,0.52,0.39,0.31
5,16:19:7:712,13.5,1.16,1.06,1.19,0.73,0.53,1.27,0.82,0.78
6,16:19:8:714,35.78,3.21,4.28,3.89,3.81,4.06,5.54,3.2,3.89
7,16:19:9:716,38.78,3.72,4.33,4.69,3.94,4.67,5.17,3.82,4.76
8,16:19:10:721,37.9,4.76,4.38,4.7,4.89,4.67,4.48,3.81,4.27
9,16:19:11:721,28.78,4,3.58,3.5,4.24,2.89,3.54,2.23,1.69
10,16:19:12:728,40.38,4.6,4.57,4.37,5.05,4.73,4.78,4.75,4.83
11,16:19:13:732,35.57,3.9,4.14,3.43,4.46,3.95,3.89,3.46,4.22
12,16:19:14:740,30.44,3.42,3.47,3.25,4,2.68,3.64,2.5,2.72
13,16:19:15:747,30.04,3.2,3.38,2.92,3.85,3.86,3,2.99,2.54
14,16:19:16:755,28.36,3.41,3.54,2.96,2.76,2.84,3.04,2.55,2.68
15,16:19:17:759,20.62,2.67,0.94,0.93,1.06,3.05,2.06,1.54,1.17
16,16:19:18:765,33.17,3.36,2.09,4.28,3.07,4.45,4.4,4.53,2.72
17,16:19:19:773,32.84,3.48,3.45,3.74,3.97,3.54,3.66,3.73,3.27
18,16:19:20:779,29.88,3.67,3.5,2.77,3,3.18,3.15,2.85,3.14
19,16:19:21:784,29.5,5.89,3.72,3.59,2.36,2.54,3.52,1.9,1.08
20,16:19:22:790,27.47,4.94,2.84,3.08,1.48,3.29,3,1.94,1.42
21,16:19:23:794,25.7,5.46,2.03,1.85,1.94,2.67,3.06,1.64,1.21
22,16:19:24:801,26.4,5.35,3.73,3.17,1.36,2.6,2.54,1.01,0.65
23,16:19:25:802,34.12,3.82,4.06,3.46,3.46,3.82,4.47,2.97,3.91
24,16:19:26:810,29.75,4.08,3.08,2.78,3.32,3.37,3.26,3.11,2.41
25,16:19:27:816,30.17,3,4.65,3.15,3.54,3.56,2.62,2.45,2.58
26,16:19:28:816,19.52,1.67,2.7,1.73,1.73,2.42,1.63,0.7,0.64
27,16:19:29:825,31.95,3.22,3.91,3.18,3.41,3.92,3.15,3.03,3.28
28,16:19:30:826,33.27,3.21,4.32,4.02,3.66,3.25,3.26,3.27,4.01
30,16:19:32:838,29.4,2.89,3.94,3.42,2.66,3.2,2.58,3.22,2.66
31,16:19:33:846,23.87,1.92,2.59,1.99,1.7,1.76,2.92,3.11,1.2
32,16:19:34:850,18.5,0.73,1.61,2.08,0.38,1.34,1.06,2.75,0.8
33,16:19:35:856,19.62,1.03,0.61,2.34,2.09,0.77,2.21,1.43,0.85
34,16:19:36:862,17.56,1.9,1.72,1.93,0.84,0.87,1.97,0.8,0.35
35,16:19:37:869,14.82,0.95,0.4,1.49,0.79,0.95,1.8,1.01,0.7
36,16:19:38:877,9.88,0.32,0.29,1.48,0.22,0.6,0.33,0.23,0.18
37,16:19:39:886,28.85,4.28,3.96,3.23,3.69,2.23,2.65,0.24,2.03
38,16:19:40:893,20.34,1.4,3.65,2.07,2.71,1.94,0.87,2.09,0.75
39,16:19:41:902,29.16,3.19,3.47,3.11,3.28,3.42,3.16,0.8,2.99
40,16:19:42:906,22.44,1.57,3.31,2.54,2.62,1.93,1.57,2.96,1.74
41,16:19:43:914,25.94,2.97,3.16,2.2,3.07,2.21,2.61,1.23,1.64
42,16:19:44:918,21.92,1.84,3,2.67,1.51,1.49,1.66,2.1,1.87
43,16:19:45:918,27.68,3.22,3.47,3.39,2.09,3.38,2.37,1.5,2.06
44,16:19:46:921,24.69,3.9,3.3,1.53,2.98,1.11,2.27,2.83,1.94
45,16:19:47:926,23.42,3.84,1.57,3.15,1.82,1.36,3.62,2.89,1.1
46,16:19:48:928,23.11,1.67,3.71,1.15,0.59,0.87,2.7,1.19,3.8
47,16:19:49:935,27.52,2.32,3.16,2.57,1.84,1.68,2.17,3.01,4.79
48,16:19:50:944,26.41,2.09,2.17,2.4,2.21,2.65,3.2,5.28,2.61
49,16:19:51:950,24.62,3.08,2.99,2.43,1.78,2.07,1.99,4.57,3.26
50,16:19:52:959,24.96,1.94,3.08,1.6,1.84,2.31,2.04,1.41,4.29
51,16:19:53:966,15.53,1.35,1.15,1.42,1.74,1.16,1.06,2.4,1.56
52,16:19:54:973,19.08,1.61,1.95,1.87,1.63,1.55,1.26,0.85,1.43
53,16:19:55:975,27,2.52,2.53,2.78,4.19,2.39,3.06,2.42,2.43
54,16:19:56:983,30.89,3.68,3.59,3.44,4.85,2.38,2.99,2.11,2.92
55,16:19:57:986,20.66,1.74,2.51,1.87,1.79,1.97,2.13,2.61,1.52
56,16:19:58:990,29.43,2.71,4.33,3.02,3.18,2.95,3.03,1.49,2.62
57,16:19:59:997,31.08,4.54,4.68,4.12,3.32,2.59,3.18,3.61,2.61
58,16:20:0:997,31.89,3.32,5.34,4.28,3.11,3.47,3.39,2.76,2.32
59,16:20:2:004,26.73,3.9,3.69,3.22,2.71,2.49,2.21,3.48,2.15
60,16:20:3:009,16.26,1.34,2.24,1.99,1.62,1.2,0.89,1.86,0.78
61,16:20:4:009,32.12,3.47,4.02,3.67,4.04,3.84,3.85,1.31,2.45
62,16:20:5:017,28.43,2.57,4.32,2.61,2.2,3.21,4.02,3.46,2.97
63,16:20:6:022,28.89,3.43,2.92,1.83,2.53,3.61,3.18,2.69,3.42
64,16:20:7:027,12.51,2.09,1.61,0.81,0.39,0.62,0.37,3.2,0.43
65,16:20:8:028,29.56,2.95,4,3.37,3.67,2.67,2.99,0.29,2.36
66,16:20:9:032,26.63,2.72,4.6,4.12,2.38,2.39,4.62,2.93,1.56
67,16:20:10:039,22.93,2.46,1.62,3.71,2.12,3.53,2.22,2.07,3.16
68,16:20:11:041,21.26,2.34,2.65,1.78,4.98,1.69,1.34,1.12,1.55
69,16:20:12:045,34.15,4.23,5.15,4.51,5.31,4.15,3.89,1.05,3.1
70,16:20:13:052,15.08,1.09,1.74,0.63,1.03,1.16,0.85,3.48,0.88
71,16:20:14:053,30.94,3.58,5.07,2.97,3.52,3.22,3.42,1.45,3.94
72,16:20:15:059,35.77,3.82,3.7,3.41,5.1,4.61,5.54,2.87,3.84
73,16:20:16:068,38.88,4.24,4.68,5.17,5.11,4.75,4.52,3.35,4.13
74,16:20:17:077,38.44,4.55,4.96,4.76,5.1,4.46,4.47,4.5,3.97
75,16:20:18:077,22.81,1.67,4.33,3.53,3.9,0.91,0.91,3.86,0.99
76,16:20:19:079,30.31,2.9,3.94,3.59,3.61,3.54,2.98,0.73,2.49
